no;FileTrail Line_ID;Exploration Archives Line Name;Open Works LINE;SURVEY - for 3D lines
943;2001RM-0004T1-002;SEM-05;mt-10;
944;2001RM-0004T1-002;9247-86;mt-13;
945;2001RM-0004T1-002;9250-86;mt-13;
946;2001RM-0004T1-002;SEM 213;1109-BJ2;
947;2001RM-0004T1-002;SEM(S)40;98KT-29;
948;2001RM-0004T1-002;SEM(S)50;85-MS-15;
949;2001RM-0005T1-009;SEM(S)60;85-MS-16;
950;2001RM-0005T1-009;SEM(S)70;85-MS-17;
951;2001RM-0005T1-009;SEM(S)95A;FMFA29;
952;2001RM-0007T1-033;SEM-107;750010;
953;2001RM-0007T1-033;SEM-14;750022;
954;2001RM-0007T1-033;SEM-14A;75074;
955;2001RM-0007T1-033;SEM-15_2;75077;
956;2001RM-0008T1-073;SEM-205;75062;
957;2001RM-0008T1-073;SEM-208;75066;
958;2001RM-0008T1-073;SEM-209;75070;
959;2001RM-0008T1-073;SEM-212;75054;
960;2001RM-0008T1-073;SEM-216;75058;
961;2001RM-0008T1-073;SMO91-19;75061;
962;2001RM-0008T1-073;SMO91-21;1110-BJ2;
963;2001RM-0010T1-107;SMO91-23;1121-BJ2;
964;2001RM-0010T1-107;SMO91-25;1326-BJ2;
965;2001RM-0010T1-107;SMO91-27;98KT-30;
966;2001RM-0010T1-107;SMO91-29;98KT-32;
967;2001RM-0010T1-107;SMO91-31;DH1;
968;2001RM-0010T1-107;SMO91-33;DH2;
969;2001RM-0010T1-107;SMO91-35;HX-03A;
970;2001RM-0012T1-011;SMO91-37;HX-03B;
971;2001RM-0012T1-011;SMO91-39;HX-03C;
972;2001RM-0012T1-011;SMO91-41;HX-04;
973;2001RM-0012T1-011;SMO91-41A;750014;
974;2001RM-0012T1-011;SMO91-43;87-AK-22;
975;2001RM-0012T1-011;SMO91-45;87-AK-23;
976;2001RM-0012T1-011;SMO91-47;750025;
977;2001RM-0014T1-106;SMO91-49;750029;
978;2001RM-0014T1-106;SMO91-51;750033;
979;2001RM-0014T1-106;SMO91-53;75078;
980;2001RM-0014T1-106;SMO91-02;75082;
981;2001RM-0014T1-106;SMO91-01;76MR-06;
982;2001RM-0014T1-106;SMO91-03;75062;
983;2001RM-0014T1-106;SMO91-04;75066;
984;E01MA02_3D;SMO91-05;75070;
985;E01MA02_3D;SMO91-06;1001-BJ2;
986;E01MA02_3D;SMO91-07;1002-BJ2;
987;E01MA02_3D;SMO91-08;1338-BJ2;
988;E01MA02_3D;SMO91-09;1350-BJ2;
989;E01MA02_3D;SMO91-10;1362-BJ2;
990;2001RM-0002T1-007;SMO91-11;1374-BJ2;
991;2001RM-0002T1-007;SMO91-12;1386-BJ2;
992;2001RM-0002T1-007;SMO91-13;85-BZ-24;
993;2001RM-0002T1-007;SMO91-14;85-BZ-24;
994;2001RM-0002T1-007;SMO91-15;85-KB-10;
995;2001RM-0002T1-007;SMO91-17;85-KB-11;
996;2001RM-0002T1-007;07TAF-07;FMFA31;
997;2001RM-0004T1-002;07TAF-06;FMFA32;
998;2001RM-0004T1-002;07TAF-05;FMFA33;
999;2001RM-0004T1-002;07TAF-17A;FMFA34;
